Year,GDP
1960,89.71507492
1961,75.96550111
1962,71.0616846
1963,74.46815409
1964,85.66110746
1965,98.66816887
1966,104.5064635
1967,96.76144801
1968,91.64545818
1969,100.3081395
1970,113.346243
1971,118.8424916
1972,132.0974104
1973,157.3398881
1974,160.4025469
1975,178.6212493
1976,165.6809877
1977,185.7286207
1978,156.6556169
1979,184.2858531
1980,195.14948
1981,197.425511
1982,203.7227884
1983,225.865347
1984,251.1926865
1985,295.0074458
1986,282.4456031
1987,252.2567601
1988,284.0235731
1989,311.4294612
1990,318.5033536
1991,334.1302881
1992,367.8226519
1993,378.9393531
1994,475.6778744
1995,612.6802779
1996,713.3373878
1997,786.7435485
1998,835.0953486
1999,881.1466141
2000,969.1995137
2001,1065.405976
2002,1163.559577
2003,1306.972454
2004,1530.927262
2005,1777.644968
2006,2129.25697
2007,2734.727099
2008,3523.443021
2009,3898.244592
2010,4629.245517
2011,5703.76028
2012,6405.057424
2013,7147.035186
2014,7781.065975
2015,8175.332851
2016,8254.868593
2017,8979.676527
2018,10085.66381
2019,10342.90095
2020,10627.4638
2021,12887.43572
2022,12970.60564
2023,12951.17824
2024,13303.14815

